,eng_province,province,id,station_id,station_name
0,Mae Hong Son,แม่ฮ่องสอน,3.0,48300.0,แม่ฮ่องสอน
1,Chumphon,ชุมพร,63.0,48517.0,ชุมพร
2,Nakhon Si Thammarat,นครศรีธรรมราช,64.0,48552.0,นครศรีธรรมราช
3,Phuket,ภูเก็ต,75.0,48565.0,ภูเก็ต (ศูนย์ฯ)
4,Phangnga,พังงา,78.0,48561.0,ตะกั่วป่า
5,Ranong,ระนอง,74.0,48532.0,ระนอง
6,Surat Thani,สุราษฎร์ธานี,72.0,48550.0,เกาะสมุย
7,Krabi,กระบี่,76.0,48566.0,เกาะลันตา
8,Phatthalung,พัทลุง,73.0,48560.0,พัทลุง สกษ.
9,Satun,สตูล,79.0,48570.0,สตูล
10,Songkhla,สงขลา,80.0,48569.0,หาดใหญ่
11,Trang,ตรัง,77.0,48567.0,ตรัง
12,Yala,ยะลา,67.0,48581.0,ยะลา สกษ.
13,Chiang Rai,เชียงราย,1.0,48303.0,เชียงราย
14,Chiang Mai,เชียงใหม่,2.0,48327.0,เชียงใหม่
15,Lampang,ลำปาง,13.0,48328.0,ลำปาง
16,Lamphun,ลำพูน,12.0,48329.0,ลำพูน
17,Nan,น่าน,5.0,48331.0,น่าน
18,Phayao,พะเยา,11.0,48310.0,พะเยา
19,Phrae,แพร่,14.0,48330.0,แพร่
20,Phitsanulok,พิษณุโลก,7.0,48378.0,พิษณุโลก
21,Sukhothai,สุโขทัย,10.0,48372.0,สุโขทัย
22,Uttaradit,อุตรดิตถ์,6.0,48351.0,อุตรดิตถ์
23,Kanchanaburi,กาญจนบุรี,35.0,48450.0,กาญจนบุรี
24,Kamphaeng Phet,กำแพงเพชร,8.0,48380.0,กำแพงเพชร
25,Phichit,พิจิตร,9.0,48386.0,พิจิตร สกษ.
26,Phetchabun,เพชรบูรณ์,15.0,48379.0,เพชรบูรณ์
27,Suphan Buri,สุพรรณบุรี,38.0,48425.0,สุพรรณบุรี
28,Tak,ตาก,4.0,48376.0,ตาก
29,Uthai Thani,อุทัยธานี,48.0,48410.0,อุทัยธานี
30,Ang Thong,อ่างทอง,,,
31,Chai Nat,ชัยนาท,39.0,48402.0,ชัยนาท สกษ.
32,Lop Buri,ลพบุรี,40.0,48426.0,ลพบุรี
33,Nakhon Nayok,นครนายก,60.0,48417.0,นครนายก
34,Prachin Buri,ปราจีนบุรี,56.0,48430.0,ปราจีนบุรี
35,Nakhon Sawan,นครสวรรค์,36.0,48400.0,นครสวรรค์
36,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,41.0,48415.0,พระนครศรีอยุธยา
37,Pathum Thani,ปทุมธานี,43.0,48419.0,ปทุมธานี สกษ.
38,Sing Buri,สิงห์บุรี,,,
39,Saraburi,สระบุรี,,,
40,Bangkok Metropolis,กรุงเทพมหานคร,37.0,48455.0,กรุงเทพมหานคร
41,Nonthaburi,นนทบุรี,,,
42,Nakhon Pathom,นครปฐม,50.0,48451.0,นครปฐม
43,Phetchaburi,เพชรบุรี,70.0,48465.0,เพชรบุรี
44,Prachuap Khiri Khan,ประจวบคีรีขันธ์,71.0,48475.0,หัวหิน
45,Ratchaburi,ราชบุรี,42.0,48464.0,ราชบุรี
46,Samut Prakan,สมุทรปราการ,51.0,48457.0,นำร่อง
47,Samut Sakhon,สมุทรสาคร,,,
48,Samut Songkhram,สมุทรสงคราม,46.0,48438.0,สมุทรสงคราม
49,Si Sa Ket,ศรีสะเกษ,30.0,48409.0,ศรีสะเกษ
50,Ubon Ratchathani,อุบลราชธานี,19.0,48407.0,อุบลราชธานี (ศูนย์ฯ)
51,Amnat Charoen,อำนาจเจริญ,34.0,48391.0,อำนาจเจริญ
52,Yasothon,ยโสธร,31.0,48406.0,ยโสธร
53,Chon Buri,ชลบุรี,61.0,48461.0,พัทยา
54,Chachoengsao,ฉะเชิงเทรา,59.0,48458.0,ฉะเชิงเทรา
55,Chanthaburi,จันทบุรี,58.0,48480.0,จันทบุรี
56,Sa Kaeo,สระแก้ว,53.0,48440.0,สระแก้ว
57,Rayong,ระยอง,55.0,48478.0,ระยอง
58,Trat,ตราด,57.0,48501.0,ตราด
59,Buri Ram,บุรีรัมย์,33.0,48437.0,บุรีรัมย์
60,Chaiyaphum,ชัยภูมิ,29.0,48403.0,ชัยภูมิ
61,Khon Kaen,ขอนแก่น,18.0,48381.0,ขอนแก่น
62,Kalasin,กาฬสินธุ์,28.0,48390.0,กาฬสินธุ์
63,Maha Sarakham,มหาสารคาม,27.0,48382.0,มหาสารคาม
64,Nakhon Ratchasima,นครราชสีมา,20.0,48431.0,นครราชสีมา
65,Roi Et,ร้อยเอ็ด,21.0,48405.0,ร้อยเอ็ด
66,Surin,สุรินทร์,32.0,48432.0,สุรินทร์
67,Loei,เลย,17.0,48353.0,เลย
68,Nong Khai,หนองคาย,16.0,48352.0,หนองคาย
69,Sakon Nakhon,สกลนคร,26.0,48356.0,สกลนคร
70,Udon Thani,อุดรธานี,23.0,48354.0,อุดรธานี
71,Nong Bua Lam Phu,หนองบัวลำภู,24.0,48360.0,หนองบัวลำภู
72,Nakhon Phanom,นครพนม,25.0,48357.0,นครพนม
73,Mukdahan,มุกดาหาร,22.0,48383.0,มุกดาหาร
74,Narathiwat,นราธิวาส,65.0,48583.0,นราธิวาส
75,Pattani,ปัตตานี,68.0,48580.0,ปัตตานี
76,Bueng Kan,บึงกาฬ,81.0,48363.0,บึงกาฬ
